test	text	postcode
DCPS:2751016406	MUSLIM COMMUNITY CENTRE, ETON ROAD, ILFORD	IG1 2UE
DCPS:1473633426	ALL SAINT'S PARISH HALL ELM GROVE ROAD W5	
DCPS:2976251246	DORCHESTER AVENUE, BEXLEY	DA5 3AS
DCPS:3458124212	153 ERITH ROAD, ERITH	DA8 1PJ
DCPS:3650451728	St Barnabas Street, London	SW1W 8PF
DCPS:4221368510	Small Hall, Wealdstone Methodist Church, Locket Road, Harrow	
DCPS:2873114200	CHADWELL PRIMARY SCHOOL, HIGH ROAD, Chadwell Heath, ROMFORD	RM6 4EU
DCPS:1973167218	Surrey Gardens Memorial Hall, Penrose Street	SE17 3DW
DCPS:3839446513	Trefgarn Owen School Room, Trefgarn Owen	
DCPS:1102646790	2 PARSONAGE LANE, SIDCUP, KENT	DA14 5EW
DCPS:1973989991	St. Marys Parish Centre, St. Monica Road	
DCPS:4041386569	GLADE PRIMARY SCHOOL, ATHERTON ROAD, CLAYHALL, ILFORD	IG5 0PF
DCPS:1482436575	Kingsley Primary School, Thomson Crescent, Croydon,	
DCPS:3047005096	COMMUNITY CENTRE THOMASTOWN, THE SQUARE, THOMASTOWN, TONYREFAIL	CF39 8DS
DCPS:3789878753	WOODSIDE ROAD, BEXLEYHEATH	DA7 6LP
DCPS:3771050198	1 PARKSIDE CROSS, BARNEHURST, BEXLEYHEATH	DA7 6NZ
DCPS:3937776625	Village Hall, Park Lane, Castle Camps	CB21 4SR
DCPS:1097546717	WOODSIDE CRESCENT, SIDCUP, KENT	DA14 6QL
DCPS:3437251115	SIDMOUTH ROAD, WELLING, KENT	DA7 5SL
DCPS:4127313992	North Cheam Baptist Church, Ridge Road, Sutton, SM3 9LY, North Cheam	
DCPS:2905564384	PONTSTICILL MEMORIAL HALL, DAN Y COED, PONTSTICILL, MERTHYR TYDFIL	CF48 2UA
DCPS:3107385430	Crane Park Children's Centre, Norman Avenue, Hanworth	TW13 5LN
DCPS:1707095828	SHERWOOD PARK AVENUE, SIDCUP, KENT	DA15 9BL
DCPS:2661372708	DARRENLAS JUNIOR SCHOOL, KINGCRAFT STREET, MOUNTAIN ASH	CF45 3LT
DCPS:3456696645	ST PAUL'S PARISH HALL RIDLEY AVENUE W13	
DCPS:3629887149	Carew Memorial Hall, Birds Land, Carew, Tenby	SA70 8SL
DCPS:2221444464	St. Mark's Hall, Compton Road, London	
DCPS:2848734664	St Luke's Church, Berry Moor Road, Sowerby Bridge, West Yorkshire	HX6 3RN
DCPS:2442938391	Norwood Green Village Hall, Village Street, Norwood Green, Halifax	HX3 8QG
DCPS:1700653417	Christ Church Centre,  Leeds Road, Lightcliffe, Halifax	HX3 8ND
DCPS:3760346936	OXFORD STREET DAY CENTRE, OXFORD STREET, MOUNTAIN ASH	CF45 3HD
DCPS:4249419228	St Matthews Church, Wakefield Road, Lightcliffe, Halifax	HX3 8TH
DCPS:2714994744	St Mark's Church, St Mark's Hill, Surbiton	KT6 4LS
DCPS:3995772792	Bailiff Bridge Community Centre, Victoria Road, Brighouse	HD6 4DX
DCPS:1219966230	Mixenden Youth And Community Centre, Clough Lane, Mixenden, Halifax	HX2 8SH
DCPS:2589605197	St Johns Parish Centre, Pavement Lane, Bradshaw, Halifax	HX2 9JJ
DCPS:3429497807	3Gs TRAINING CENTRE (OLD CLINIC), CHESTNUT WAY, GURNOS, MERTHYR TYDFIL	CF47 9SB
DCPS:2770085359	Queens Park Community School, Aylestone Avenue, London	NW6 7BQ
DCPS:2351883250	ACTON VALE COMMUNITY CENTRE BEECH AVENUE W3	
DCPS:2326333233	Ellingham Employment Services, 5 Ellingham Road, London	E15 2AU
DCPS:3360190443	Lordship Lane TRA Hall, Entr. Rear of Bew Court, Lordship Lane	SE22 8NZ
DCPS:2544235131	Braintcroft School, Warren Road, London	NW2 7LL
DCPS:1789223142	Vernon Hall, Vernon Square, King's Cross Road	WC1X 9EP
DCPS:3612554832	Our Lady of Grace RC Junior School, Dollis Hill Lane, London	NW2 6HS
DCPS:4289488978	Cadoxton Community Centre, Church Road, Cadoxton, Neath	SA10 8AU
DCPS:1558374983	Christ Embassy, 277 Neasden Lane, London	NW10 1QJ
DCPS:2925001402	Alltycham & Rhydyfro Community Hall, Off Cefn Llan, Pontardawe	
DCPS:3878994324	Upper Berkeley Street Entrance	W1H 5AU
DCPS:2733722335	Gladstone Park School, Sherrick Green Road, London	NW10 1LB
DCPS:3476409572	Hut in Car Park, St Mary's Willesden Parish, Church Centre, Neasden Lane, London	NW10 2TS
DCPS:1050548920	Pakistan Community Centre, Marley Walk, Off Station Parade, London	NW2 4PU
DCPS:2165545131	TREROBART PRIMARY SCHOOL, THOMPSON STREET, YNYSYBWL, PONTYPRIDD	CF37 3EF
DCPS:2807343598	Christchurch (Brondesbury) CE School, Willesden Lane, London	NW6 7TE
DCPS:3574433429	Marchmont Street Community Centre, Marchmont Street	WC1N 1AB
DCPS:1745725477	Royal British Legion, West Kilburn, 15 Peel Precinct, London	NW6 5RE
DCPS:3576060777	PITSHANGER METHODIST CHURCH HALL PITSHANGER LANE W5	
DCPS:2464963691	United Reformed Church Hall, Orchard Road, Melbourn	SG8 6BP
DCPS:1904031445	Anson Primary School, Anson Road, London	NW2 4AB
DCPS:1464136522	St Gabriel's Hall, 77 Chichele Road, London	NW2 3AQ
DCPS:1252935658	Buchan TRA Hall, 21 Buchan Road, London	SE15 3HQ
DCPS:2206475502	LLANHARAN WELFARE HALL, BRIDGEND ROAD, LLANHARAN, PONTYCLUN	CF72 9RA
DCPS:2836270187	Hitherfield Children`s Centre, Hitherfield Road, Streatham, London	SW16 2JQ
DCPS:3330218591	Teviot Neighbourhood Centre, Wyvis Street, London	E14 6QD
DCPS:2241874098	Harold Wood Methodist Church Hall, The Drive, Harold Wood, Romford	
DCPS:2988858350	The Phoenix Centre Newtown Road Newbury	RG14 7EB
DCPS:2046428494	GREENWOOD PRIMARY SCHOOL WOOD END WAY NORTHOLT	
DCPS:4049270198	Wykeham Primary School, Aboyne Road, London	NW10 0EX
DCPS:3451620029	LLANHARRY COMMUNITY CENTRE, TYLACOCH, LLANHARRY	CF72 9LF
DCPS:3670098060	Hut on Crispian Close Car Park, Off Neasden Lane, London	NW10 1PW
DCPS:2497337983	Preston & Mall Youth & Community Centre, The Mall, Harrow	HA3 9TX
DCPS:4181500514	East Dulwich Community Centre, 46-64 Darrell Road	SE22 9NL
DCPS:4173272187	The Parish Hall, Church of The Ascension, The Avenue, Wembley	HA9 9QL
DCPS:3174983264	Hut Outside 15 Kings Drive, Wembley	HA9 9HN
DCPS:4147798928	Emmanuel Church Hall, Dudley Drive, Morden	
DCPS:2940262850	St Catherines Hall Wittenham Avenue Tilehurst Reading	RG31 5LN
DCPS:3409571197	Christ Church with St Philip (Church Entrance), Ruskin Drive, Worcester Park, KT4 8LG, Christ Church	
DCPS:2518116171	Mortimer Community Centre The Street Mortimer Common Reading	RG7 3SW
DCPS:1888179221	Church of St Mary Burghfield Reading	
DCPS:3055582092	Fryent Primary School, Church Lane, London	NW9 8JD
DCPS:2720080914	Lindsay Park Baptist Church Hall, The Mall, Harrow	HA3 9TG
DCPS:2279275402	Claremont High School, The Greenway, Harrow	HA3 0UH
DCPS:1809121892	Booth At Brookfield, Adjacent To No.78 Brookfield, Brookfield, Neath	SA10 7EH
DCPS:4198210328	St Clements Church Hall, Friern Road Or Barry Road, (By Graham Court), SE22 OAU, SE22 OAU	
DCPS:1287875915	RAY LODGE PRIMARY SCHOOL, SNAKES LANE EAST, WOODFORD GREEN	IG8 7JQ
DCPS:2073403913	Hut Opposite 86 Northwick Avenue, Harrow	HA3 0AT
DCPS:3522729625	St Cuthbert's Church Hall, Carlton Avenue West, Wembley	HA0 3QY
DCPS:1571218117	Byron Court Primary School, Spencer Road, Wembley	HA0 3SF
DCPS:1122195096	St Matthias Primary School, Bacon Street, London	E2 6DY
DCPS:3658345796	Earls Court Youth Club, 120 Ifield Road, London	SW10 9AF
DCPS:4147584908	Preston Park Primary School, College Road, Wembley	HA9 8RJ
DCPS:3838382791	Hatch End Free Church (Baptist) Hall, Rowlands Avenue, Pinner	
DCPS:2397782629	CHURCH HALL (ST JOHN BAPTIST), CHURCH ROAD, TON PENTRE, PENTRE	
DCPS:2384552983	FERNHILL COMMUNITY CENTRE, FERNHILL ESTATE, MOUNTAIN ASH	CF45 3EW
DCPS:2995648796	St. Brides Major Church Hall, Southerndown Road, St. Brides Major	CF32 0SD
DCPS:3162241561	Hut Outside Former Mecca Club, Burnt Oak Broadway, Edgware	HA8 5LD
DCPS:3876620442	White Cross Hall, Corner Of Winchester, And Princes Avenues, London	NW9 9TA
DCPS:2070861678	The Library, Depot Road, Cwmavon, Port Talbot	SA12 9DF
DCPS:1336818087	Jean Stokes Community Ctre, Carnoustie Drive, Bemerton Est. (Adj. T.M.O.), London	N1 0DX
DCPS:1851647625	Burghfield Village Hall Recreation Road Burghfield Common Reading	RG7 3EN
DCPS:2531001650	West Norwood Fire Station, 210 Knight's Hill	SE27 0QA
DCPS:1118926320	Oasis Academy Ryelands, Nursery, Oakley Road, South, Norwood, London	
DCPS:4159848927	Sudbury Primary School, Entrance on, Perrin Road, Wembley	HA0 3EY
DCPS:1315895793	St John's Community Centre, Crawford Avenue, Wembley	HA0 2AF
DCPS:1199338752	Brent Civic Centre, Engineers Way, Wembley	HA9 0FJ
DCPS:2935082216	Eagleswell Primary School, Eagleswell Road, Llantwit Major	CF63 2UE
DCPS:4003856910	Queensborough Community Centre, Scovell Road, London	SE1 1QQ
DCPS:2979470977	Woodfield School, Glenwood Avenue, London	NW9 7LY
DCPS:1963275570	Hampton Hill Junior School, St.James Avenue, Hampton Hill, Hampton	TW12 1HW
DCPS:1826489739	Alperton Baptist Church Hall, Between 155 & 157 Ealing Road, Wembley	HA0 4BY
DCPS:1423499996	Hebron Church Annex - Station B, Hebron Church, Pill Street, Cogan, Penarth	CF62 2JS
DCPS:1605897994	The R J Mitchell Primary School, Tangmere Crescent, Hornchurch	
DCPS:1570056576	Chalkhill Primary School, Nursery Unit, Barnhill Road, Wembley	HA9 9YP
DCPS:2643377731	English Martyrs Church Hall, Chalkhill Road, Wembley	HA9 9EW
DCPS:2953693921	COMMUNITY CENTRE (GLYNCOCH), PORCHER AVENUE, GLYNCOCH, PONTYPRIDD	CF37 4DD
DCPS:2296795057	Leopold Primary School, Hawkshead Road, London	NW10 9UR
DCPS:3697773102	Wallington High School for Girls, Woodcote Road, Wallington, SM6 0PH, Wallington High	
DCPS:1389619223	High Path Community Resource Centre, 63 High Path, London	
DCPS:3547334696	Cavendish Pavilion, Field End Road, Eastcote, Middlesex	HA4 9PG
DCPS:3571747664	Newman Catholic College, Entrance on, Holland Road, London	NW10 5AX
DCPS:3779499784	All Souls Church Hall, Station Road, London	NW10 4UJ
DCPS:1670634352	Freemantle UR Church Parlour, 257 Shirley Road	
DCPS:1978009282	James Oglethorpe Primary School, Ashvale Gardens, Upminster	
DCPS:1729860683	Hayes Town Chapel, St Mary`s Road, Hayes, Middlesex	UB3 2JP
DCPS:3348353360	St Raphael's Children's Centre, Rainborough Close, London	NW10 0TS
DCPS:2641345293	Mitchell Brook School, Bridge Road, London	NW10 9BX
DCPS:1033137159	Leopold Gwenneth Rickus, Brentfield Road, London	NW10 8HE
DCPS:3212658527	Stonebridge Hillside Hub, 6 Hillside, London	NW10 8BN
DCPS:2255383098	Henry Fawcett Primary School, Bowling Green Street, London	SE11 5BZ
DCPS:2419874692	Hampstead Norreys Village Hall Newbury Hill Hampstead Norreys Thatcham	RG18 0TR
DCPS:1722588147	Merryoak Neighbourhood Community Centre, Acacia Road	
DCPS:2089137810	TEMPORARY POLLING PLACE WHITTON AVENUE EAST GREENFORD	
DCPS:2541230337	Alfred Salter School, Quebec Way, London	SE16 7LP
DCPS:1295125498	Allen Edwards Primary School, Studley Road, London	SW4 6RP
DCPS:1071089105	Elsley Primary School, Tokyngton Avenue, Wembley	HA9 6HT
DCPS:2996204833	Ealing Road Library, Coronet Parade, Ealing Road, Wembley	HA0 4BA
DCPS:1735619804	Tooting United Reformed Church, Rookstone Road, London	
DCPS:1494628490	ST MARY MAGDALINE CHURCH HALL, BRIDGE ROAD, CWMBACH, ABERDARE	
DCPS:2041262874	Chelsea Old Town Hall, Kings Road, London	SW3 5EE
DCPS:2922248833	Hornsey Lane Community Centre, Hornsey Lane Estate, Hazelville Road, London	N19 3YJ
DCPS:2648143715	Green Lane Primary School, Green Lane, Worcester Park, KT4 8AS, Green Lane	
DCPS:2014660245	St Andrew's Church, Beechwood Road, Holmfield, Halifax	HX3 9AR
DCPS:1450344035	Wainstalls J & I School, Castle Carr Road, Wainstalls, Halfiax	HX2 7TE
DCPS:1062998675	Chisenhale Primary School, Vivian Road Entrance, London	E3 5QY
DCPS:3797968119	CLEVELAND INFANTS SCHOOL, CLEVELAND ROAD, ILFORD	IG1 1EW
DCPS:2958210203	THE URSULINE ACADEMY ILFORD, MORLAND ROAD, ILFORD	IG1 4JU
DCPS:3327870581	Foundry Lane Primary School, Imperial Avenue entrance only	
DCPS:1370796347	Smyrna Chapel Vestry, Puncheston, Puncheston	
DCPS:2783028361	Woodhouse Primary School, Daisy Road, Rastrick, Brighouse	HD6 3SX
DCPS:1290892378	DOLAU PRIMARY SCHOOL, BRIDGEND ROAD, DOLAU	CF72 9RP
DCPS:2333992449	Nettleton Hall, Baptist Church, Gravel Road, Bromley	
DCPS:2661547693	Moravian Church Hall, Priory Road, London	N8 7HR
DCPS:3963917627	Southborough Lane Baptist Church, Southborough Lane, Bromley	
DCPS:1842947043	Keston Village Hall, Heathfield Road, Keston	
DCPS:1139123297	Red Hill Primary School, Red Hill, Chislehurst	
DCPS:2288728801	Worsley Bridge Primary School, Brackley Road, Beckenham	
DCPS:3633126300	Holy Trinity Church Hall, Gateway Close, Northwood, Middlesex	HA6 2RP
DCPS:4187541449	Pinner Village Hall, Chapel Lane, Pinner	
DCPS:2514740329	Downside Fisher Youth Club, Coxson Place, Druid Street, London	SE1 2EZ
DCPS:1550928532	St Nicholas C in W Primary School, St. Nicholas	CF5 6SG
DCPS:1945201191	Victory Social Club, Kechill Gardens, Bromley	
DCPS:3965193255	Hayes Free Church Hall, 111 Pickhurst Lane, Hayes	
DCPS:4142716950	St. Theresa's Church Hall, 250 Bishopsford Road, Morden, Surrey	
DCPS:3270947904	The Assembly Halls, 16-18 Gates Green Road, West Wickham, Kent	
DCPS:3059000987	Coney Hill Baptist Church, Coney Hill Road, West Wickham	
DCPS:1756038842	Azelia Hall, 258 Croydon Road, Beckenham	
DCPS:1250496884	Lawdale Junior School, Mansford Street, London	E2 6LS
DCPS:3463360978	Chieveley Recreational Hall High Street Chieveley Newbury	RG20 8TE
DCPS:3287535006	Clarbeston Road Memorial Hall, Clarbeston Road, Pembrokeshire	SA63 4QH
DCPS:1921695061	St. Mary`s Church Hall, St. Mary`s Avenue, Shortlands	
DCPS:3671631435	TAI EDUCATION CENTRE, VICARAGE ROAD, PENYGRAIG, TONYPANDY	CF40 1HL
DCPS:2865613487	Highfield Junior School, South Hill Road, Shortlands	
DCPS:2557411067	St. Mark`s C.E. Primary School, Aylesbury Road, Bromley	
DCPS:1302248824	Spring Grove Primary School, Star Road, Isleworth	TW7 4HB
DCPS:2661895329	The Hawes Down Centre, Hawes Lane, West Wickham	
DCPS:1807341163	Cwrt Sart Comprehensive School, (Old Rd. Entrance), Briton Ferry, Neath	SA11 2ET
DCPS:3542162055	Jabes Chapel Vestry, Gwaun Valley, Fishguard	
DCPS:2401441649	Llandissilio Village Hall, Llandissilio, Clunderwen, Pembrokeshire	
DCPS:2005382060	Stanwell Road Baptist Church Schoolroom - Station B,  (adj. to Paget Rooms), Penarth	CF64 3EG
DCPS:1477222692	The Hall Reading Room, Chapel Road, Weston Colville	CB21 5NX
DCPS:1769391248	TONTEG COMMUNITY CENTRE, MAESTEG GROVE, TONTEG, PONTYPRIDD	CF38 1ND
DCPS:1494775762	St John`s Church, South End Road, Rainham	
DCPS:2474664487	Kiln Place Tenants Association Hall, Kiln Place	NW5 4AP
DCPS:1939439745	Ham Hall, Ham & Petersham Youth Club, Ham Close, Ham, Richmond	TW10 7PL
DCPS:3451539774	Valley Primary School, Beckenham Lane, Bromley	
DCPS:3819951859	Bousfield Primary School, South Boltons Gardens, London	SW5 0DJ
DCPS:1413587050	Mobile Unit at the Pavilion, Queens Mead Recreation Ground	
DCPS:3294645989	Parish Church Rooms, Church Road, Bromley	
DCPS:3876572240	Wimbledon Park Primary School, Havana Road, London	
DCPS:3962177108	Community Centre, The Doles, Over	CB24 5NW
DCPS:3051416919	Ridgeway Primary School, Southcote Road, Sanderstead, Surrey	
DCPS:3101746847	Pensioners Hall, Pentre Street, Glynneath, Neath	SA11 5EU
DCPS:3093130792	Trinity Bromley United Reformed Church Hall, Freelands Road, Bromley	
DCPS:4046066679	Kenton Library, Kenton Lane, Harrow, (Junct. Christchurch Avenue)	
DCPS:2292641267	Wood Green Central Library, High Road, London	N22 6XD
DCPS:3668268321	Gray`s Farm Primary Academy, Gray`s Farm Road, St. Paul`s Cray	
DCPS:4250459954	Leesons Primary School, Leesons Hill, St. Paul`s Cray	
DCPS:2351590466	Whaddon Village Hall, 125 Church Street, Whaddon	SG8 5RY
DCPS:1355137044	ST JOHNS CHURCH CENTRE, BELMONT TERRACE, CYMMER, PORTH	CF39 9LB
DCPS:3066531047	Odd Fellows Hall, 6A Beaconsfield Road, London	
DCPS:3785128870	Castlecombe Children & Family Centre, Castlecombe Road, London	
DCPS:2577644364	The South Norwood Academy,, Gresham Road entrance only,, South Norwood, London	
DCPS:2616249744	Elmstead Baptist Church, Elmstead Lane, Chislehurst	
DCPS:3213396015	Burnt Ash Children & Family Centre, Rangefield Road, Bromley	
DCPS:3752337213	St. Andrew`s Church Hall, 134B Burnt Ash Lane, Bromley	
DCPS:3726667602	Parish C.E. Primary School, London Lane, Bromley	
DCPS:3297873594	Lettsom Tenants Hall, 114 Vestry Road	SE5 8PQ
DCPS:2341993767	St. Michael and All Angels Church, Ravenscroft Road, Beckenham	
DCPS:1566322376	Churchfields Primary School, Churchfields Road, Beckenham	
DCPS:4144099394	Balgowan Primary School, Balgowan Road, Beckenham	
DCPS:3618241012	Shirland Road, London	W9 2JD
DCPS:2164886966	Christ Church Hall, Brighton Road, Purley, Surrey	
DCPS:1519054269	St. Paul`s Church Hall, Hamlet Road, London	
DCPS:4071446817	Anerley Town Hall, Anerley Road, London	
DCPS:2669717685	Thurlow Lodge Community Hall, 1 Thurlow Street	SE17 2US
DCPS:3955098846	Christ Central Church, Green Lane, London	
DCPS:4176480988	Harris Academy, Lennard Road, Beckenham	
DCPS:1930306996	Triangle Nursery School, 25 William Bonney Estate, Clapham Crescent, London	SW4 7JQ
DCPS:2973449011	Sardis Chapel Vestry, John Street, Resolven, Neath	SA11 4LA
DCPS:3279211247	Pembroke Town Hall, Main Street, Pembroke, Main Street, Pembroke	SA71 4JS
DCPS:2613825624	Oaklands Primary School, Oaklands Lane, Biggin Hill	
DCPS:1300849561	The Den (Scout Hut), 30 Love, Lane, South Norwood, London	
DCPS:3926025653	St. Mark`s Church Hall, 10 Church Road, Biggin Hill	
DCPS:1078083313	St. Denys Church Centre, Dundee Road	
